accession	Domain	Phylum	Class	Order	Family	Genus	Species
GB_GCA_009781675.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__PALSA-986	s__PALSA-986 sp009781675
GB_GCA_009787585.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__PALSA-986	s__PALSA-986 sp009787585
GB_GCA_010028495.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotenuis	s__Nitrosotenuis sp010028495
GB_GCA_011048195.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__WYZ-LMO2	s__WYZ-LMO2 fulgidus_B
GB_GCA_011334705.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__B-DKE	s__B-DKE sp011334705
GB_GCA_013178225.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__JABLXE01	s__JABLXE01 sp013178225
GB_GCA_903877165.1	d__Archaea	p__Thermoplasmatota	c__E2	o__DHVEG-1	f__DHVEG-1	g__CAIRCU01	s__CAIRCU01 sp903877165
RS_GCF_000016125.1	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis_D
RS_GCF_000017185.1	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanothermococcus_A	s__Methanothermococcus_A aeolicus
RS_GCF_000017945.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Ignicoccaceae	g__Ignicoccus_A	s__Ignicoccus_A hospitalis
RS_GCF_000019805.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum neutrophilum
RS_GCF_000025505.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Ferroglobus	s__Ferroglobus placidus
RS_GCF_000025625.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
RS_GCF_000166095.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermaceae	g__Methanothermus	s__Methanothermus fervidus
RS_GCF_000172995.2	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
RS_GCF_000221185.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus sp000221185
RS_GCF_000275865.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanofollaceae	g__Methanofollis	s__Methanofollis liminatans
RS_GCF_000337915.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum saccharovorum
RS_GCF_000455365.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger_B	s__Halopiger_B djelfimassiliensis
RS_GCF_000513315.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_C	s__Methanobrevibacter_C arboriphilus_A
RS_GCF_000739595.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum halophilum
RS_GCF_000828575.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter sp000828575
